t,l_disp,r_disp
25.3,-8.9948422,-8.247742200000001
25.4,-8.9888592,-8.253913679999998
25.5,-8.98377365,-8.2609668
25.6,-8.97958555,-8.26890156
25.7,-8.975995750000001,-8.277130199999998
25.8,-8.9727051,-8.285946599999999
25.9,-8.970311899999999,-8.295056879999999
26.0,-8.96761955,-8.304167159999999
26.1,-8.9661238,-8.307987599999999
26.2,-8.96343145,-8.318273399999999
26.3,-8.96343145,-8.322093839999999
26.4,-8.965525499999998,-8.32385712
26.5,-8.97061105,-8.32385712
26.6,-8.977491500000001,-8.323563239999999
26.7,-8.985269399999998,-8.3226816
26.8,-8.993645599999999,-8.321799959999998
26.9,-9.0008252,-8.3212122
27.0,-9.004415,-8.32238772
27.1,-9.00770565,-8.32444488
27.2,-9.0109963,-8.3270898
27.3,-9.01488525,-8.33061636
27.4,-9.01847505,-8.333849039999999
27.5,-9.02206485,-8.3373756
27.6,-9.0259538,-8.340902159999999
27.7,-9.029543599999998,-8.3447226
27.8,-9.033432549999999,-8.34824916
27.9,-9.0373215,-8.3520696
28.0,-9.039116400000001,-8.35383288
28.1,-9.039116400000001,-8.35383288
28.2,-9.039116400000001,-8.35383288
28.3,-9.03941555,-8.35412676
28.4,-9.04180875,-8.356477799999999
28.5,-9.04719345,-8.36176764
28.6,-9.05197985,-8.36646972
28.7,-9.0528773,-8.36735136
28.8,-9.056167949999999,-8.370584039999999
28.9,-9.05856115,-8.37293508
29.0,-9.05856115,-8.37293508
29.1,-9.05856115,-8.37293508
29.2,-9.05856115,-8.37293508
29.3,-9.05856115,-8.37293508
29.4,-9.05856115,-8.37293508
29.5,-9.05856115,-8.37293508
29.6,-9.058860300000001,-8.37293508
29.7,-9.058860300000001,-8.37293508
29.8,-9.058860300000001,-8.37293508
29.9,-9.058860300000001,-8.37293508
30.0,-9.058860300000001,-8.37293508
30.1,-9.05915945,-8.37293508
30.2,-9.05915945,-8.37293508
30.3,-9.05915945,-8.37293508
